,E,I,M
3,0.02541402596630461,0.0,0.0
4,0.023318381387414464,0.009581306093270068,0.0
5,0.015130373418785257,0.05884776387608454,0.0
6,0.006935877213364196,0.10534625971726805,0.0
7,0.007988634435961706,0.06022088420587652,0.0012737733895468977
8,0.0,0.05133869543409063,0.0046997387347690244
9,0.0,0.26558017973831316,0.004800678733195673
10,0.0,0.0,0.0034572728369176675
11,0.0,0.0,0.033608687801632474
12,0.0,0.0,0.032329703842857785
13,0.0,0.0,0.025555062599997597
14,0.0,0.0,0.038888138739126776
